,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm,TF
MS00235|SP4,1.250223723936461e-06,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,Sp4 transcription factor,Homo Sapiens,FT293,6671,SP4,,NM_003112,,,,,,,,,,,,,"[[[0.139, 0.314, 0.184, 0.363], [0.518, 0.037, 0.015, 0.430], [0.567, 0.032, 0.358, 0.043], [0.164, 0.010, 0.816, 0.010], [0.055, 0.925, 0.010, 0.010], [0.010, 0.951, 0.010, 0.029], [0.732, 0.248, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.965, 0.010, 0.015], [0.423, 0.552, 0.010, 0.015], [0.021, 0.774, 0.010, 0.195], [0.215, 0.169, 0.044, 0.572], [0.138, 0.285, 0.086, 0.491], [0.230, 0.280, 0.132, 0.358]]]",SP4
MC00252|Rara,1.3846487008639663e-06,,Cistrome,,16,,21232103,Hormone-nuclear Receptor Family,,"retinoic acid receptor, alpha",Mus Musculus,HBG3,19401,Rara,,NM_001176528|NM_001177302|NM_001177303|NM_009024,,,,,,,4859(3/6),-25.2281,(1) denovo|(2) denovo,(1)|(2),,2.0,"[[[0.047, 0.080, 0.069, 0.804], [0.040, 0.152, 0.763, 0.045], [0.557, 0.195, 0.098, 0.149], [0.190, 0.708, 0.045, 0.058], [0.053, 0.829, 0.057, 0.061], [0.065, 0.332, 0.050, 0.553], [0.125, 0.419, 0.208, 0.248], [0.170, 0.299, 0.233, 0.297], [0.249, 0.303, 0.316, 0.133], [0.155, 0.305, 0.312, 0.228], [0.230, 0.287, 0.262, 0.221], [0.049, 0.102, 0.079, 0.771], [0.097, 0.136, 0.726, 0.040], [0.828, 0.061, 0.059, 0.052], [0.157, 0.761, 0.036, 0.047], [0.061, 0.819, 0.046, 0.075], [0.037, 0.455, 0.033, 0.475], [0.072, 0.484, 0.114, 0.330], [0.236, 0.141, 0.290, 0.333]]]",Rara
M00736|E2F1::TFDP1,2.0083449807639653e-06,,Transfac,,4,,9372931,Transcription Factor Family,,E2F transcription factor 1|transcription factor Dp-1,Homo Sapiens,,1869|7027,E2F1::TFDP1,,NM_005225|NM_007111|NR_026580,145.0,,,,,,,,,,,,"[[[0.160, 0.120, 0.040, 0.680], [0.080, 0.040, 0.010, 0.870], [0.010, 0.010, 0.010, 0.970], [0.010, 0.660, 0.320, 0.010], [0.010, 0.540, 0.440, 0.010], [0.010, 0.970, 0.010, 0.010], [0.120, 0.010, 0.860, 0.010], [0.010, 0.740, 0.240, 0.010]]]",E2F1::TFDP1
MS00512|Zfp740,2.2720715625590415e-06,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,zinc finger protein 740,Mus Musculus,293FT,68744,Zfp740,,NM_153194,,,,,,,,,,,,,"[[[0.303, 0.342, 0.222, 0.133], [0.186, 0.707, 0.028, 0.079], [0.170, 0.772, 0.010, 0.048], [0.047, 0.917, 0.010, 0.026], [0.038, 0.920, 0.010, 0.032], [0.063, 0.876, 0.014, 0.047], [0.075, 0.843, 0.038, 0.044], [0.114, 0.774, 0.031, 0.081], [0.671, 0.105, 0.070, 0.154], [0.163, 0.533, 0.071, 0.233]]]",Zfp740
M00491|PATZ1,2.2760814068489843e-06,,Transfac,,4,,10669750,BetaBetaAlpha-zinc finger Family|AT-hook Domain Family,,POZ (BTB) and AT hook containing zinc finger 1,Homo Sapiens,,23598,PATZ1,MAZR PATZ RIAZ ZBTB19 ZNF278 ZSG dJ400N23,NM_014323|NM_032050|NM_032051|NM_032052,239.0,,,,,,,,,,,,"[[[0.286, 0.119, 0.333, 0.262], [0.132, 0.316, 0.542, 0.010], [0.154, 0.103, 0.718, 0.025], [0.051, 0.010, 0.897, 0.042], [0.075, 0.010, 0.905, 0.010], [0.154, 0.010, 0.744, 0.092], [0.010, 0.010, 0.970, 0.010], [0.026, 0.010, 0.954, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.308, 0.513, 0.010, 0.169], [0.231, 0.513, 0.103, 0.153], [0.436, 0.282, 0.154, 0.128]]]",PATZ1
MS00212|SP1,2.285760684117566e-06,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,Sp1 transcription factor,Homo Sapiens,E.Coli,6667,SP1,,NM_003109|NM_138473,,,,,,,,,,,,,"[[[0.463, 0.022, 0.432, 0.083], [0.193, 0.707, 0.034, 0.066], [0.066, 0.754, 0.019, 0.161], [0.471, 0.469, 0.050, 0.010], [0.010, 0.970, 0.010, 0.010], [0.301, 0.010, 0.487, 0.202], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.811, 0.010, 0.169], [0.390, 0.475, 0.016, 0.119], [0.177, 0.517, 0.105, 0.201]]]",SP1
MC00376|ZBTB7A,4.102841233644128e-06,,Cistrome,,16,,None,BetaBetaAlpha-zinc finger Family,,zinc finger and BTB domain containing 7A,Homo Sapiens,HepG2,51341,ZBTB7A,,NM_015898,,,,,,,6215(1/2),-28.5699,(1) denovo|(2) denovo|(3) denovo|(4) denovo|(5) denovo|(7) denovo|(8) ZBTB7A,(1)|(2)|(3)|(4)|(5)|(7)|(8) BetaBetaAlpha-zinc finger Family,,7.0,"[[[0.108, 0.577, 0.145, 0.171], [0.069, 0.733, 0.158, 0.040], [0.018, 0.702, 0.093, 0.186], [0.148, 0.445, 0.338, 0.069], [0.110, 0.364, 0.507, 0.019], [0.371, 0.416, 0.194, 0.018], [0.010, 0.018, 0.966, 0.006], [0.657, 0.325, 0.010, 0.008], [0.007, 0.974, 0.011, 0.007], [0.004, 0.973, 0.018, 0.004], [0.018, 0.965, 0.007, 0.010], [0.009, 0.951, 0.013, 0.027], [0.228, 0.223, 0.251, 0.298]]]",ZBTB7A
MS00567|EGR3,4.226009241492523e-06,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,early growth response 3,Homo Sapiens,293FT,1960,EGR3,,NM_004430,,,,,,,,,,,,,"[[[0.195, 0.372, 0.161, 0.272], [0.267, 0.292, 0.115, 0.326], [0.581, 0.398, 0.010, 0.011], [0.010, 0.970, 0.010, 0.010], [0.029, 0.014, 0.941, 0.016], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.938, 0.010, 0.042], [0.701, 0.279, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.017, 0.012, 0.959, 0.012], [0.010, 0.969, 0.010, 0.011], [0.807, 0.035, 0.107, 0.051], [0.244, 0.360, 0.066, 0.330], [0.239, 0.209, 0.139, 0.413]]]",EGR3
MS00035|GLIS2,5.054366211287853e-06,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,GLIS family zinc finger 2,Homo Sapiens,293FT,84662,GLIS2,,NM_032575,,,,,,,,,,,,,"[[[0.046, 0.110, 0.573, 0.271], [0.774, 0.091, 0.125, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.967, 0.010, 0.013], [0.010, 0.970, 0.010, 0.010], [0.050, 0.930, 0.010, 0.010], [0.043, 0.865, 0.010, 0.082], [0.297, 0.010, 0.657, 0.036], [0.010, 0.908, 0.024, 0.058], [0.313, 0.025, 0.618, 0.044], [0.503, 0.017, 0.243, 0.237], [0.415, 0.270, 0.114, 0.201], [0.011, 0.142, 0.799, 0.048]]]",GLIS2
MC00257|Pax5,5.175407628843498e-06,,Cistrome,,20,,,Homeodomain Family,,paired box gene 5,Mus Musculus,B Lymphocyte,18507,Pax5,BSAP EBB-1 KLP Pax-5,NM_008782,32.0,,,,,,6977(6/8),-48.6339,(0) denovo (1) denovo (2) denovo (3) denovo (4) denovo (6) denovo (7) PAX5 Pax5 (10) PAX6 Pax6 (12) denovo (18) ZNF423 Zfp423,(0)  (1)  (2)  (3)  (4)  (6)  (7) Homeodomain Family (10) Homeodomain Family (12)  (18) BetaBetaAlpha-zinc finger Family (zf-C2H2),,10.0,"[[[0.324, 0.177, 0.399, 0.100], [0.295, 0.148, 0.253, 0.304], [0.435, 0.056, 0.452, 0.057], [0.310, 0.135, 0.334, 0.221], [0.030, 0.261, 0.410, 0.299], [0.049, 0.792, 0.009, 0.150], [0.837, 0.048, 0.068, 0.047], [0.185, 0.163, 0.520, 0.132], [0.024, 0.714, 0.181, 0.080], [0.141, 0.650, 0.158, 0.051], [0.707, 0.021, 0.238, 0.034], [0.573, 0.038, 0.154, 0.235], [0.010, 0.311, 0.664, 0.015], [0.022, 0.764, 0.039, 0.175], [0.399, 0.034, 0.528, 0.039], [0.040, 0.030, 0.160, 0.770], [0.230, 0.029, 0.709, 0.032], [0.610, 0.072, 0.183, 0.135], [0.245, 0.644, 0.066, 0.045]]]",Pax5
M01104|Ovol2,5.293658917437938e-06,,Transfac,,4,,15225875,BetaBetaAlpha-zinc finger Family,,ovo-like 2 (Drosophila),Mus Musculus,,107586,Ovol2,1700108N11Rik 1810007D21Rik M-OVO M-OVO-A M-OVO-B MOVO Ovo2 Zfp339 movo2,NM_026924|NM_152947,265.0,,,,,,,,,,,,"[[[0.107, 0.107, 0.643, 0.143], [0.161, 0.339, 0.179, 0.321], [0.036, 0.018, 0.936, 0.010], [0.010, 0.010, 0.679, 0.301], [0.010, 0.018, 0.962, 0.010], [0.250, 0.010, 0.730, 0.010], [0.010, 0.036, 0.929, 0.025]]]",Ovol2
MC00144|Rfx1,5.664355756995754e-06,,Cistrome,,16,,21106759,RFX Domain Family,,"regulatory factor X, 1 (influences HLA class II expression)",Mus Musculus,Neural Progenitor Cell,19724,Rfx1,,NM_009055,,,,,,,958(1/1),-51.132,(1) denovo|(2) Rfx4|(3) denovo|(5) denovo|(6) Rfxdc2|(7) RFX3 dimer|(9) RFX1|(15) Rfx3,(1)|(2) RFX Domain Family|(3)|(5)|(6)|(7)|(9) RFX Domain Family|(15) RFX Domain Family,,8.0,"[[[0.017, 0.713, 0.147, 0.122], [0.079, 0.467, 0.285, 0.170], [0.051, 0.025, 0.902, 0.022], [0.021, 0.135, 0.065, 0.779], [0.048, 0.323, 0.064, 0.566], [0.126, 0.110, 0.602, 0.162], [0.009, 0.869, 0.015, 0.107], [0.005, 0.851, 0.012, 0.132], [0.586, 0.209, 0.080, 0.125], [0.161, 0.105, 0.038, 0.696], [0.172, 0.018, 0.807, 0.003], [0.082, 0.021, 0.891, 0.006], [0.197, 0.597, 0.087, 0.119], [0.558, 0.041, 0.354, 0.046], [0.826, 0.068, 0.086, 0.020], [0.018, 0.888, 0.040, 0.053]]]",Rfx1
M01118|WT1,7.074965735820449e-06,,Transfac,,4,,"P1481890. New matrix entries., Rel102 Book 0001 (2006)",BetaBetaAlpha-zinc finger Family,,Wilms tumor 1,Homo Sapiens,,7490,WT1,AWT1 GUD WAGR WIT-2 WT33,NM_000378|NM_024424|NM_024425|NM_024426,137.0,,,,,,,,,,,,"[[[0.048, 0.561, 0.381, 0.010], [0.273, 0.500, 0.182, 0.045], [0.010, 0.970, 0.010, 0.010], [0.174, 0.348, 0.087, 0.391], [0.010, 0.970, 0.010, 0.010], [0.174, 0.806, 0.010, 0.010], [0.045, 0.409, 0.273, 0.273], [0.143, 0.381, 0.381, 0.095], [0.048, 0.714, 0.190, 0.048]]]",WT1
M00518|PPARG::RXRA,7.6271267279715005e-06,,Transfac,,4,,P1481798. Binding matrices compiled for TRANSFAC Book 2 0002 (2001),Hormone-nuclear Receptor Family,,"peroxisome proliferator-activated receptor gamma|retinoid X receptor, alpha",Homo Sapiens,,5468|6256,PPARG::RXRA,,NM_005037|NM_015869|NM_138711|NM_138712|NM_002957,178.0,,,,,,,,,,,,"[[[0.158, 0.316, 0.105, 0.421], [0.263, 0.316, 0.211, 0.210], [0.316, 0.105, 0.474, 0.105], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.053, 0.053, 0.884], [0.053, 0.684, 0.105, 0.158], [0.832, 0.053, 0.105, 0.010], [0.010, 0.010, 0.010, 0.970], [0.300, 0.010, 0.200, 0.490], [0.105, 0.105, 0.632, 0.158], [0.211, 0.053, 0.726, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.105, 0.875], [0.010, 0.526, 0.368, 0.096], [0.632, 0.010, 0.211, 0.147], [0.278, 0.167, 0.389, 0.166], [0.056, 0.056, 0.667, 0.221]]]",PPARG::RXRA
MC00158|E2f4,8.277887942109707e-06,,Cistrome,,16,,None,Transcription Factor Family,,E2F transcription factor 4,Mus Musculus,MEL,104394,E2f4,,NM_148952,,,,,,,3562(3/5),-36.0959,(1) E2F-1|(2) denovo|(3) denovo|(4) E2F-1|(5) denovo|(6) denovo|(7) E2F|(8) E2F-1|(9) E2F1|(11) E2F1|(14) denovo|(16) UGA3|(18) denovo,(1)|(2)|(3)|(4)|(5)|(6)|(7)|(8)|(9) Transcription Factor Family|(11) Transcription Factor Family|(14)|(16)|(18),,13.0,"[[[0.235, 0.096, 0.337, 0.332], [0.052, 0.180, 0.166, 0.602], [0.061, 0.044, 0.034, 0.862], [0.034, 0.105, 0.004, 0.857], [0.004, 0.712, 0.281, 0.003], [0.002, 0.515, 0.478, 0.005], [0.005, 0.990, 0.001, 0.004], [0.003, 0.000, 0.989, 0.008], [0.008, 0.746, 0.240, 0.005], [0.004, 0.603, 0.298, 0.095]]]",E2f4
M01175|ZBTB7B,9.058540991147002e-06,,Transfac,,4,,"P1481876. New matrix entries., Rel121 Book 0001 (2008)",BetaBetaAlpha-zinc finger Family,,zinc finger and BTB domain containing 7B,Homo Sapiens,,51043,ZBTB7B,DKFZp686G01254 THPOK ZBTB15 ZFP67 ZNF857B c-Krox hcKrox,NM_015872,150.0,,,,,,,,,,,,"[[[0.010, 0.400, 0.400, 0.190], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.300, 0.680], [0.010, 0.880, 0.100, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.100, 0.600, 0.200, 0.100]]]",ZBTB7B
UP00021|Zfp281,9.33508039568931e-06,,UniPROBE,,9,,19443739,BetaBetaAlpha-zinc finger Family,,zinc finger protein 281,Mus Musculus,,226442,Zfp281,MGC70044 MGC7737,NM_001160251|NM_177643,239.0,,,,,,,,,,,,"[[[0.202, 0.165, 0.201, 0.432], [0.136, 0.443, 0.179, 0.242], [0.263, 0.555, 0.068, 0.114], [0.142, 0.738, 0.046, 0.074], [0.045, 0.884, 0.045, 0.026], [0.246, 0.591, 0.023, 0.140], [0.123, 0.591, 0.033, 0.253], [0.018, 0.945, 0.010, 0.027], [0.035, 0.945, 0.010, 0.010], [0.020, 0.954, 0.010, 0.016], [0.015, 0.964, 0.010, 0.011], [0.029, 0.936, 0.012, 0.023], [0.300, 0.517, 0.030, 0.153], [0.159, 0.513, 0.052, 0.276], [0.158, 0.647, 0.133, 0.062]]]",Zfp281
MC00319|EGR2,9.823628422944708e-06,,Cistrome,,20,,,BetaBetaAlpha-zinc finger Family,,early growth response 2,Homo Sapiens,macrophage,1959,EGR2,AT591 CMT1D CMT4E DKFZp686J1957 FLJ14547 KROX20,NM_000399|NM_001136177|NM_001136178|NM_001136179,30.0,,,,,,6450(3/3),-43.5206,(0) denovo (1) denovo (2) denovo (3) denovo (4) EGR1 Egr1 (5) EGR2 Egr2 (6) EGR4 Egr4 (7) denovo (8) EGR3 Egr3 (9) denovo (10) denovo (11) denovo (12) SP4 Sp4 (14) denovo (15) denovo,(0)  (1)  (2)  (3)  (4) BetaBetaAlpha-zinc finger Family (zf-C2H2) (5) BetaBetaAlpha-zinc finger Family (zf-C2H2) (6) BetaBetaAlpha-zinc finger Family (zf-C2H2) (7)  (8) BetaBetaAlpha-zinc finger Family (zf-C2H2) (9)  (10)  (11)  (12)  (14)  (15),,15.0,"[[[0.027, 0.028, 0.934, 0.010], [0.210, 0.634, 0.020, 0.136], [0.004, 0.012, 0.984, 0.000], [0.007, 0.014, 0.409, 0.570], [0.020, 0.012, 0.958, 0.010], [0.001, 0.007, 0.990, 0.002], [0.005, 0.011, 0.978, 0.006], [0.159, 0.577, 0.002, 0.262], [0.009, 0.012, 0.968, 0.011], [0.024, 0.017, 0.791, 0.167]]]",EGR2
MS00146|KLF16,9.954379725618523e-06,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,Kruppel-like factor 16,Homo Sapiens,293FT,83855,KLF16,,NM_031918,,,,,,,,,,,,,"[[[0.218, 0.175, 0.528, 0.079], [0.333, 0.596, 0.028, 0.043], [0.036, 0.928, 0.010, 0.026], [0.690, 0.281, 0.019, 0.010], [0.039, 0.940, 0.010, 0.011], [0.185, 0.064, 0.601, 0.150], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.924, 0.010, 0.056], [0.262, 0.703, 0.011, 0.024], [0.016, 0.791, 0.011, 0.182]]]",KLF16
