,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm
M01742|Zscan10,1.9103333670925562e-10,,Transfac,,4,,19740739,BetaBetaAlpha-zinc finger Family,,zinc finger and SCAN domain containing 10,Mus Musculus,,332221,Zscan10,BC068284 Zfp206 Zkscan10 Znf206,NM_001033425,164.0,,,,,,,,,,,,"[[[0.010, 0.214, 0.028, 0.748], [0.052, 0.010, 0.928, 0.010], [0.022, 0.958, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.968, 0.012, 0.010], [0.864, 0.054, 0.066, 0.016], [0.048, 0.108, 0.379, 0.465], [0.012, 0.028, 0.946, 0.014], [0.010, 0.952, 0.010, 0.028], [0.010, 0.024, 0.862, 0.104], [0.010, 0.866, 0.018, 0.106]]]"
UP00006|Zic3,2.1403227398667116e-10,,UniPROBE,,9,,19443739,BetaBetaAlpha-zinc finger Family,,zinc finger protein of the cerebellum 3,Mus Musculus,,22773,Zic3,Bn,NM_009575,97.0,,,,,,,,,,,,"[[[0.133, 0.375, 0.253, 0.239], [0.305, 0.451, 0.094, 0.150], [0.125, 0.724, 0.028, 0.123], [0.129, 0.755, 0.045, 0.071], [0.118, 0.810, 0.037, 0.035], [0.047, 0.817, 0.077, 0.059], [0.047, 0.791, 0.144, 0.018], [0.060, 0.088, 0.665, 0.187], [0.059, 0.077, 0.817, 0.047], [0.036, 0.037, 0.810, 0.117], [0.070, 0.045, 0.755, 0.130], [0.123, 0.028, 0.724, 0.125], [0.104, 0.069, 0.636, 0.191], [0.071, 0.198, 0.581, 0.150], [0.147, 0.235, 0.230, 0.388]]]"
M00327|PAX3,2.3084387923887148e-10,,Transfac,,4,,8633043,Homeodomain Family,,paired box 3,Homo Sapiens,,5077,PAX3,CDHS HUP2 MGC120381 MGC120382 MGC120383 MGC120384 MGC134778 WS1 WS3,NM_000438|NM_001127366|NM_013942|NM_181457|NM_181458|NM_181459|NM_181460|NM_181461,362.0,,,,,,,,,,,,"[[[0.412, 0.098, 0.196, 0.294], [0.333, 0.294, 0.176, 0.197], [0.451, 0.255, 0.196, 0.098], [0.255, 0.196, 0.196, 0.353], [0.235, 0.157, 0.216, 0.392], [0.196, 0.255, 0.255, 0.294], [0.078, 0.549, 0.176, 0.197], [0.059, 0.039, 0.804, 0.098], [0.118, 0.039, 0.010, 0.833], [0.020, 0.745, 0.216, 0.019], [0.863, 0.059, 0.020, 0.058], [0.020, 0.882, 0.010, 0.088], [0.010, 0.010, 0.902, 0.078], [0.020, 0.412, 0.490, 0.078], [0.196, 0.059, 0.010, 0.735], [0.196, 0.294, 0.020, 0.490], [0.294, 0.196, 0.294, 0.216], [0.294, 0.275, 0.157, 0.274], [0.294, 0.098, 0.412, 0.196], [0.255, 0.196, 0.294, 0.255], [0.314, 0.157, 0.176, 0.353]]]"
M00665|SP3,2.5129931338573455e-10,,Transfac,,4,,P1481859. New TRANSFAC MATRIX entries Book 3 0001 (2002),BetaBetaAlpha-zinc finger Family,,Sp3 transcription factor,Homo Sapiens,,6670,SP3,DKFZp686O1631 SPR2,NM_001017371|NM_001172712|NM_003111,320.0,,,,,,,,,,,,"[[[0.970, 0.010, 0.010, 0.010], [0.010, 0.333, 0.500, 0.157], [0.333, 0.500, 0.010, 0.157], [0.333, 0.647, 0.010, 0.010], [0.010, 0.167, 0.167, 0.656], [0.167, 0.010, 0.167, 0.656], [0.010, 0.333, 0.647, 0.010], [0.010, 0.010, 0.667, 0.313], [0.010, 0.010, 0.970, 0.010], [0.167, 0.333, 0.490, 0.010], [0.490, 0.167, 0.333, 0.010], [0.167, 0.010, 0.813, 0.010], [0.010, 0.167, 0.813, 0.010], [0.010, 0.010, 0.970, 0.010]]]"
UP00102|ZIC1,2.6968779361727e-10,,UniPROBE,,9,,19443739,BetaBetaAlpha-zinc finger Family,,"Zic family member 1 (odd-paired homolog, Drosophila)",Homo Sapiens,,7545,ZIC1,ZIC ZNF201,NM_003412,97.0,,,,,,,,,,,,"[[[0.174, 0.368, 0.270, 0.188], [0.360, 0.310, 0.111, 0.219], [0.094, 0.790, 0.026, 0.090], [0.115, 0.779, 0.051, 0.055], [0.105, 0.838, 0.032, 0.025], [0.045, 0.825, 0.074, 0.056], [0.146, 0.593, 0.228, 0.033], [0.045, 0.175, 0.608, 0.172], [0.056, 0.074, 0.825, 0.045], [0.025, 0.032, 0.838, 0.105], [0.055, 0.051, 0.779, 0.115], [0.089, 0.026, 0.790, 0.095], [0.061, 0.068, 0.717, 0.154], [0.098, 0.195, 0.592, 0.115]]]"
UP00057|ZIC2,2.976538634603651e-10,,UniPROBE,,9,,19443739,BetaBetaAlpha-zinc finger Family,,"Zic family member 2 (odd-paired homolog, Drosophila)",Homo Sapiens,,7546,ZIC2,HPE5,NM_007129,97.0,,,,,,,,,,,,"[[[0.171, 0.301, 0.276, 0.252], [0.275, 0.494, 0.091, 0.140], [0.136, 0.717, 0.033, 0.114], [0.116, 0.773, 0.046, 0.065], [0.104, 0.835, 0.032, 0.029], [0.057, 0.813, 0.071, 0.059], [0.057, 0.766, 0.157, 0.020], [0.072, 0.110, 0.632, 0.186], [0.059, 0.071, 0.813, 0.057], [0.029, 0.032, 0.835, 0.104], [0.065, 0.046, 0.773, 0.116], [0.114, 0.033, 0.717, 0.136], [0.120, 0.068, 0.609, 0.203], [0.066, 0.215, 0.563, 0.156], [0.179, 0.197, 0.206, 0.418]]]"
MS00357|ZIC4,3.0471853541408976e-10,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,Zic family member 4,Homo Sapiens,293FT,84107,ZIC4,,NM_001168378|NM_001168379|NM_032153|NR_033118|NR_033119,,,,,,,,,,,,,"[[[0.077, 0.124, 0.548, 0.251], [0.552, 0.150, 0.288, 0.010], [0.094, 0.861, 0.016, 0.029], [0.062, 0.858, 0.036, 0.044], [0.159, 0.712, 0.058, 0.071], [0.010, 0.970, 0.010, 0.010], [0.037, 0.943, 0.010, 0.010], [0.010, 0.656, 0.010, 0.324], [0.182, 0.011, 0.796, 0.011], [0.010, 0.634, 0.071, 0.285], [0.144, 0.118, 0.260, 0.478], [0.048, 0.010, 0.930, 0.012], [0.185, 0.275, 0.158, 0.382], [0.012, 0.073, 0.729, 0.186], [0.302, 0.342, 0.101, 0.255]]]"
M00695|TEAD2,3.2844253261076844e-10,,Transfac,,4,,P1481859. New TRANSFAC MATRIX entries Book 3 0001 (2002),Homeodomain Family,,TEA domain family member 2,Homo Sapiens,,8463,TEAD2,ETF TEF-4 TEF4,NM_003598,300.0,,,,,,,,,,,,"[[[0.010, 0.010, 0.846, 0.134], [0.308, 0.374, 0.308, 0.010], [0.010, 0.010, 0.923, 0.057], [0.010, 0.010, 0.970, 0.010], [0.385, 0.595, 0.010, 0.010], [0.010, 0.154, 0.826, 0.010], [0.010, 0.010, 0.970, 0.010]]]"
MC00158|E2f4,4.147898096174707e-10,,Cistrome,,16,,None,Transcription Factor Family,,E2F transcription factor 4,Mus Musculus,MEL,104394,E2f4,,NM_148952,,,,,,,3562(3/5),-36.0959,(1) E2F-1|(2) denovo|(3) denovo|(4) E2F-1|(5) denovo|(6) denovo|(7) E2F|(8) E2F-1|(9) E2F1|(11) E2F1|(14) denovo|(16) UGA3|(18) denovo,(1)|(2)|(3)|(4)|(5)|(6)|(7)|(8)|(9) Transcription Factor Family|(11) Transcription Factor Family|(14)|(16)|(18),,13.0,"[[[0.235, 0.096, 0.337, 0.332], [0.052, 0.180, 0.166, 0.602], [0.061, 0.044, 0.034, 0.862], [0.034, 0.105, 0.004, 0.857], [0.004, 0.712, 0.281, 0.003], [0.002, 0.515, 0.478, 0.005], [0.005, 0.990, 0.001, 0.004], [0.003, 0.000, 0.989, 0.008], [0.008, 0.746, 0.240, 0.005], [0.004, 0.603, 0.298, 0.095]]]"
M00143|PAX5,4.4064506484753005e-10,,Transfac,,4,,8406007,Homeodomain Family,,paired box 5,Homo Sapiens,,5079,PAX5,BSAP,NM_016734,351.0,,,,,,,,,,,,"[[[0.010, 0.286, 0.286, 0.418], [0.143, 0.714, 0.010, 0.133], [0.143, 0.286, 0.429, 0.142], [0.429, 0.143, 0.143, 0.285], [0.286, 0.143, 0.429, 0.142], [0.429, 0.010, 0.551, 0.010], [0.143, 0.429, 0.286, 0.142], [0.010, 0.143, 0.571, 0.276], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.286, 0.286, 0.286, 0.142], [0.010, 0.286, 0.286, 0.418], [0.010, 0.143, 0.837, 0.010], [0.429, 0.143, 0.143, 0.285], [0.286, 0.010, 0.143, 0.561], [0.010, 0.010, 0.970, 0.010], [0.286, 0.429, 0.143, 0.142], [0.429, 0.010, 0.551, 0.010], [0.143, 0.010, 0.286, 0.561], [0.561, 0.143, 0.286, 0.010], [0.143, 0.143, 0.704, 0.010], [0.286, 0.694, 0.010, 0.010], [0.143, 0.418, 0.429, 0.010], [0.286, 0.010, 0.571, 0.133], [0.143, 0.561, 0.286, 0.010], [0.286, 0.429, 0.010, 0.275], [0.143, 0.429, 0.286, 0.142], [0.010, 0.429, 0.286, 0.275]]]"
M01118|WT1,6.836044279184841e-10,,Transfac,,4,,"P1481890. New matrix entries., Rel102 Book 0001 (2006)",BetaBetaAlpha-zinc finger Family,,Wilms tumor 1,Homo Sapiens,,7490,WT1,AWT1 GUD WAGR WIT-2 WT33,NM_000378|NM_024424|NM_024425|NM_024426,137.0,,,,,,,,,,,,"[[[0.048, 0.561, 0.381, 0.010], [0.273, 0.500, 0.182, 0.045], [0.010, 0.970, 0.010, 0.010], [0.174, 0.348, 0.087, 0.391], [0.010, 0.970, 0.010, 0.010], [0.174, 0.806, 0.010, 0.010], [0.045, 0.409, 0.273, 0.273], [0.143, 0.381, 0.381, 0.095], [0.048, 0.714, 0.190, 0.048]]]"
MC00523|E2F4,6.867541142221238e-10,,Cistrome,,16,,21655096,Transcription Factor Family,,"E2F transcription factor 4, p107/p130-binding",Homo Sapiens,Adipocyte,1874,E2F4,,NM_001950,,,,,,,2623(2/3),-30.0085,(1) denovo,(1),,1.0,"[[[0.164, 0.355, 0.406, 0.075], [0.037, 0.293, 0.639, 0.031], [0.072, 0.823, 0.043, 0.062], [0.065, 0.055, 0.835, 0.045], [0.036, 0.342, 0.592, 0.030], [0.058, 0.270, 0.593, 0.078], [0.487, 0.235, 0.219, 0.059], [0.379, 0.102, 0.289, 0.230], [0.306, 0.169, 0.254, 0.270], [0.048, 0.085, 0.069, 0.799], [0.085, 0.067, 0.057, 0.791], [0.026, 0.330, 0.108, 0.536], [0.380, 0.102, 0.475, 0.043], [0.818, 0.057, 0.082, 0.043], [0.789, 0.058, 0.104, 0.049], [0.316, 0.280, 0.144, 0.260]]]"
MC00191|Nfya,7.493571585183796e-10,,Cistrome,,18,,22179133,NF-Y CCAAT-Binding Protein Family,,nuclear transcription factor-Y alpha,Mus Musculus,Neuron,18044,Nfya,,NM_001110832|NM_010913,,,,,,,5073(3/3),-39.9577,(1) NFYA|(2) NFYA|(3) denovo|(4) denovo|(5) denovo|(6) NFYA|(7) denovo|(8) NFYA|(9) denovo|(10) denovo|(11) CCAAT box|(12) denovo|(13) denovo|(14) denovo|(15) denovo|(16) HAP2/3/4|(17) denovo|(18) denovo|(19) denovo|(20) NFYA|(22) NFYA|(23) ACAAT|(31) Duxbl|(36) Duxl,(1) NF-Y CCAAT-Binding Protein Family|(2) NF-Y CCAAT-Binding Protein Family|(3)|(4)|(5)|(6) NF-Y CCAAT-Binding Protein Family|(7)|(8) NF-Y CCAAT-Binding Protein Family|(9)|(10)|(11)|(12)|(13)|(14)|(15)|(16)|(17)|(18)|(19)|(20) NF-Y CCAAT-Binding Protein Family|(22) NF-Y CCAAT-Binding Protein Family|(23)|(31)|(36),,24.0,"[[[0.196, 0.294, 0.278, 0.231], [0.162, 0.398, 0.067, 0.373], [0.092, 0.174, 0.280, 0.455], [0.096, 0.530, 0.197, 0.177], [0.013, 0.345, 0.052, 0.590], [0.026, 0.278, 0.539, 0.157], [0.953, 0.017, 0.015, 0.015], [0.011, 0.021, 0.032, 0.936], [0.019, 0.007, 0.013, 0.961], [0.012, 0.019, 0.942, 0.027], [0.012, 0.018, 0.950, 0.020], [0.082, 0.475, 0.036, 0.407], [0.023, 0.332, 0.097, 0.549], [0.315, 0.194, 0.396, 0.095], [0.310, 0.226, 0.305, 0.159], [0.184, 0.248, 0.255, 0.313]]]"
MC00254|E2F6,7.773497900298944e-10,,Cistrome,,16,,None,Transcription Factor Family,,E2F transcription factor 6,Homo Sapiens,K562,1876,E2F6,,NM_198256|NR_003092|NR_003093|NR_003094|NR_003095,,,,,,,2777(1/1),-27.8447,(1) denovo|(3) denovo|(6) denovo|(8) denovo|(9) USF2|(11) USF1|(12) denovo|(14) denovo|(15) bHLH66|(19) PIF1|(27) N-Myc,(1)|(3)|(6)|(8)|(9) Helix-Loop-Helix Family|(11) Helix-Loop-Helix Family|(12)|(14)|(15)|(19)|(27),,11.0,"[[[0.005, 0.978, 0.009, 0.008], [0.539, 0.013, 0.432, 0.016], [0.007, 0.955, 0.016, 0.021], [0.015, 0.026, 0.947, 0.011], [0.009, 0.293, 0.008, 0.690], [0.008, 0.008, 0.971, 0.012], [0.076, 0.697, 0.222, 0.004], [0.186, 0.247, 0.250, 0.317], [0.013, 0.498, 0.484, 0.005], [0.075, 0.622, 0.290, 0.012]]]"
M00139|AHR,8.675815778561828e-10,,Transfac,,4,,1652054|2536161|2548080|1852076|2550446,Helix-Loop-Helix Family,,aryl hydrocarbon receptor,Homo Sapiens,,196,AHR,bHLHe76,NM_001621,216.0,,,,,,,,,,,,"[[[0.010, 0.667, 0.222, 0.101], [0.010, 0.667, 0.010, 0.313], [0.010, 0.556, 0.111, 0.323], [0.010, 0.758, 0.222, 0.010], [0.222, 0.333, 0.333, 0.112], [0.444, 0.010, 0.536, 0.010], [0.333, 0.111, 0.444, 0.112], [0.010, 0.536, 0.444, 0.010], [0.010, 0.010, 0.010, 0.970], [0.333, 0.222, 0.111, 0.334], [0.010, 0.010, 0.970, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.667, 0.111, 0.111, 0.111], [0.111, 0.333, 0.546, 0.010], [0.667, 0.010, 0.010, 0.313]]]"
MS00173|RUNX2,8.916879822316235e-10,,SELEX,,9,,23332764,Runt Domain Family,,runt-related transcription factor 2,Homo Sapiens,239FT,860,RUNX2,,NM_001015051|NM_001024630|NM_004348,,,,,,,,,,,,,"[[[0.327, 0.153, 0.100, 0.420], [0.524, 0.080, 0.279, 0.117], [0.776, 0.063, 0.132, 0.029], [0.012, 0.932, 0.039, 0.017], [0.010, 0.943, 0.031, 0.016], [0.164, 0.015, 0.801, 0.020], [0.012, 0.954, 0.010, 0.024], [0.846, 0.010, 0.035, 0.109], [0.737, 0.039, 0.200, 0.024], [0.812, 0.053, 0.097, 0.038], [0.057, 0.858, 0.067, 0.018], [0.043, 0.865, 0.041, 0.051], [0.215, 0.050, 0.702, 0.033], [0.055, 0.801, 0.062, 0.082], [0.645, 0.083, 0.186, 0.086], [0.399, 0.117, 0.322, 0.162]]]"
M01243|MTF1,9.37589326134502e-10,,Transfac,,4,,15318811,BetaBetaAlpha-zinc finger Family,,metal-regulatory transcription factor 1,Homo Sapiens,,4520,MTF1,MGC23036 MTF-1 ZRF,NM_005955,124.0,,,,,,,,,,,,"[[[0.010, 0.010, 0.158, 0.822], [0.010, 0.158, 0.822, 0.010], [0.053, 0.832, 0.105, 0.010], [0.263, 0.158, 0.526, 0.053], [0.158, 0.822, 0.010, 0.010], [0.684, 0.158, 0.053, 0.105], [0.010, 0.822, 0.158, 0.010]]]"
